Plato,Nombre API,Calorías (kcal),Grasas (g),Carbohidratos (g),Proteínas (g),Ingredientes,URL_Receta
Hamburger,Ground Beef (80% Lean / 20% Fat),254.0,20.0,0.0,17.17,"- ground beef (1 lb. ground beef or chuck)
- Salt (Salt and freshly ground black pepper)
- black pepper (Salt and freshly ground black pepper)
- hamburger bun (4 soft white hamburger bun, split)
- tomato (4 1/4""-thick slices of a large ripe tomato)
- pickles (12–16 sliced pickles (optional))
- iceberg (4 small leaves iceberg lattuce)
- onion (4 1/4""-thick slices peeled onion)",http://www.saveur.com/article/Recipes/Classic-Hamburger
Hot and sour soup,Hot and Sour Soup,761.0,36.78,23.05,70.27,"- dried shiitake mushrooms (1 ounce dried shiitake mushrooms)
- cornstarch (2 tablespoons cornstarch)
- chicken broth (5 cups chicken broth)
- soy sauce (4 tablespoons soy sauce)
- white pepper (1 teaspoon ground white pepper)
- canned bamboo shoots (3/4 cup canned bamboo shoots, rinsed and drained and cut into matchsticks)
- soft tofu (7 ounces soft tofu, cut into 1/2-inch cubes)
- scallions (3 scallions, thinly sliced)
- white vinegar (3 tablespoons white vinegar)
- egg (1 egg, lightly beaten)",https://www.marthastewart.com/971489/hot-and-sour-soup
Hot dog,Frankfurter or Hot Dog on Bun,294.0,17.62,22.24,10.66,"- hot dogs (2 hot dogs)
- eggs (2 eggs)
- potato (1 potato)
- bacon (4 bacon strips)
- parsley (parsley)
- cayenne pepper (Pinch cayenne pepper)
- hot dog buns (2 hot dog buns)
- cheese (Handful cheese)
- butter (2 tablespoons melted butter)",https://food52.com/recipes/40299-breakfast-hot-dog
Huevos rancheros,Huevos Rancheros,302.0,16.92,21.67,17.5,"- extra virgin olive oil (1 tablespoon extra virgin olive oil)
- onion (1/2 medium onion , chopped)
- crushed tomatoes (1 ( 15 - ounce ) can whole or crushed tomatoes (preferably fire-roasted), or 1 to 2 large fresh tomatoes, when in season)
- chiles (1/2 (6 ounce) can diced green Anaheim chiles)
- chili powder (Chipotle chili powder , adobo sauce, or ground cumin to taste, optional)
- cumin (Chipotle chili powder , adobo sauce, or ground cumin to taste, optional)
- corn tortillas (4 corn tortillas)
- Butter (Butter)
- eggs (4 large eggs)
- cilantro (2 tablespoons fresh cilantro, chopped , optional)",https://www.simplyrecipes.com/recipes/huevos_rancheros
Hummus,Hummus,177.0,8.59,20.12,4.86,"- hummus (a small bowl of hummus (left to your discretion))
- sardines (2 cans of sardines, 4 oz)
- bread (1 loaf of country bread)",https://food52.com/recipes/17447-sardines-hummus-toast
Ice cream,Ice Cream,201.0,10.71,24.38,3.52,"- ice cream (3 tablespoons pink-tinted ice cream, softened)
- ice cream (3 tablespoons orange-tinted ice cream, softened)
- ice cream (3 tablespoons yellow-tinted ice cream, softened)
- ice cream (3 tablespoons green-tinted ice cream, softened)
- ice cream (3 tablespoons blue-tinted ice cream, softened)
- ice cream (3 tablespoons violet-tinted ice cream, softened)",http://www.seriouseats.com/recipes/2012/07/rainbow-ice-cream-pops-recipe.html
Lasagna,Lasagna with Meat,5369.0,197.96,566.55,328.07,"- Lasagna (1 packet Lasagna)
- tomatoes (3 pieces tomatoes)
- olives (olives pieces 12)",https://food52.com/recipes/83944-lasagna-a-la-maison
Lobster bisque,Lobster Bisque,1429.0,73.61,73.03,115.34,"- butter (3 tablespoons butter or margarine)
- onion (1 small onion, finely chopped (1/4 cup))
- all-purpose flour (3 tablespoons Gold Medal™ all-purpose flour)
- parsley (1 tablespoon chopped fresh parsley)
- salt (1/2 teaspoon salt)
- pepper (1/8 teaspoon pepper)
- milk (2 cups milk)
- Progresso™ chicken broth (1 cup Progresso™ chicken broth (from 32-oz carton))
- lobster (1 1/4 cups chopped fresh or frozen (thawed) lobster (about 12 oz))",https://www.bettycrocker.com/recipes/lobster-bisque/627909b7-8eae-4af4-b3bb-61c39b49cafd
Lobster roll sandwich,Steak Sandwich on Roll,311.0,12.2,21.26,27.12,"- mayonnaise (1⁄2 cup mayonnaise)
- Dijon mustard (2 teaspoons Dijon mustard)
- celery (1⁄3 cup celery, diced)
- lemon juice (1 tablespoon fresh lemon juice)
- Old Bay Seasoning (1⁄4 teaspoon Old Bay Seasoning)
- lobster meat (3 cups lobster meat, cooked and cut into bite sized chunks)
- lettuce (6 lettuce leaves)
- hot dog rolls (6 hot dog rolls)",http://www.food.com/recipe/lobster-roll-sandwich-372466
Macaroni and cheese,Macaroni or Noodles with Cheese,2922.0,135.33,308.95,114.31,"- parsley (1 tablespoon parsley minced)
- bread crumbs (1/3 cup panko Japanese bread crumbs)
- macaroni (12 ounces dry macaroni)
- heavy cream (1/2 pint heavy cream)
- milk (1/2 cup milk)
- Cheddar cheese (5 ounces Cheddar cheese shredded)
- Gruyere cheese (2 ounces Gruyere cheese shredded)
- cornstarch (2 teaspoons potato starch halve if using cornstarch)",http://norecipes.com/blog/macaroni-cheese-recipe/
Macarons,Spinach Macaroni,371.0,1.57,74.8,13.35,"- macaron (Recipe adapted from pierre hermé’s “macaron” cookbook)
- macarons (Makes about 36 macarons)
- almond flour (160 grams almond flour, sifted twice)
- powdered sugar (160 grams powdered sugar)
- egg whites (55 grams egg whites, aged 7 days)
- water (8 grams titanium dioxyde + 5 grams warm water (optional, for color))
- powdered sugar (150 grams powdered sugar)
- water (37 grams bottled spring water)
- egg whites (55 grams egg whites, aged 7 days (in a bowl in the refrigerator for 7 days))
- white chocolate (175 grams valhrona white chocolate)
- heavy cream (175 grams heavy cream)
- truffle (22 grams fresh white alba truffle)
- hazelnut (110 grams piedmont hazelnut)",http://www.zencancook.com/2009/10/white-truffle-hazelnut-macarons/
Miso soup,Miso Soup,486.0,19.44,45.0,34.86,"- Potato Chips (1 recipe Extra-Crunchy Potato Chips (see note above))
- soup mix (2 single-serving packets instant miso soup mix (about 20 grams))
- nori (10 sheets seasoned nori snack sheets, crumbled)
- Kosher salt (Kosher salt)",http://www.seriouseats.com/recipes/2015/01/miso-soup-potato-chips-recipe.html
Mussels,Cooked Mussels,727.0,40.0,21.38,66.81,"- mussels (2 pounds mussels)
- white wine (1 cup white wine (they suggest 1/2 cup but I need more to steam that volume))
- butter (4 tablespoons butter, softened)
- parsley (1 handful fresh flat-leaf parsley leaves, minced)
- garlic (1 small clove garlic, minced)
- smoked paprika (4 pinches smoked paprika (pimenton))",http://smittenkitchen.com/2010/12/broiled-mussels/
Nachos,Nachos with Cheese,306.0,16.77,32.15,8.05,"- skin-on chicken breast (4 bone-in, skin-on chicken breast halves)
- Coarse salt (Coarse salt and freshly ground pepper)
- pepper (Coarse salt and freshly ground pepper)
- tortilla chips (1 1/2 (16-ounce) bags tortilla chips)
- cheddar cheese (3 cups shredded cheddar cheese)
- Jack cheese (3 cups shredded Monterey Jack cheese)
- Black Bean (Black Bean and Cherry Tomato Salsa, for serving)
- Cherry Tomato (Black Bean and Cherry Tomato Salsa, for serving)
- Tomatillo (Charred Tomatillo Salsa, for serving)
- Cheese (Nacho Cheese Sauce, for serving)
- Guacamole (Guacamole for Nachos, for serving)
- Sour cream (Sour cream, for serving)
- jalapenos (Sliced jalapenos, for serving)
- radishes (Julienned radishes, for serving)
- cilantro (Chopped fresh cilantro, for serving)",https://www.marthastewart.com/326842/nachos-supremo
Omelette,2 Egg Cheese Omelette,300.0,27.0,2.0,20.0,"- fresh Basil (1 handful fresh Basil, coarsely chopped)
- Chives (2 tablespoons fresh Chives, coarsely chopped)
- Parsely (2 tablespoons fresh Parsely, coarsely chopped)
- Cilantro (1/4 cup fresh Cilantro, coarsely chopped)
- Garlic (2 cloves Garlic, coarsely chopped)
- Cashews (1/2 cup raw Cashews)
- extra virgin olive oil (1/2 cup extra virgin olive oil)
- lemon juice (1/4 cup lemon juice)
- salt (salt & pepper to taste, for pesto and omelette)
- eggs (2-3 large eggs)
- oil (1 tablespoon oil of your choice (for cooking the omelette))
- parmesan cheese (1 tablespoon grated parmesan cheese)
- heavy cream (1 tablespoon milk or heavy cream)
- tomatoes (sliced tomatoes (optional))",https://food52.com/recipes/27256-parmesan-omelette-with-green-team-pesto
Onion rings,Onion Rings (Breaded and Fried),332.0,18.69,37.74,4.46,"- onions (1 cup (140 g) flour, plus more for dusting the onions)
- cornmeal (or 3/4 cup (110 g) flour, plus 1/4 cup (35 g) cornmeal)
- beer (1 cup (250 ml) beer)
- black pepper (1 teaspoon freshly ground black pepper)
- red pepper powder (1/2 teaspoon red pepper powder (I used ancho chile powder))
- salt (1/2 teaspoon salt)
- onions (2 medium onions, peeled and cut in 1/3-inch (1 cm) thick rings)
- Peanut oil (Peanut oil, for frying the onion rings)",http://www.davidlebovitz.com/2013/04/hooters-onion-rings-recipe/
Oysters,Oysters,68.0,2.46,3.91,7.05,"- oysters (24 oysters, scrubbed, any open shells discarded)
- lemons (2 lemons, quartered)",http://www.seriouseats.com/recipes/2011/09/grilled-oysters-recipe.html
Pad thai,Pad Thai,1930.0,72.31,255.04,65.66,"- Rice Noodles (16 ounces Pad Thai Rice Noodles)
- Agave (1/2 cup Agave)
- lime juice (1/3 cup lime juice)
- shoyu (1/2 cup shoyu)
- oil (2 tablespoons Toasted sesame seed oil)
- scallions (6 scallions–sliced)
- garlic (2 cloves of garlic–minced)
- fresh ginger (1 teaspoon fresh ginger–minced)
- tofu (1 packet baked tofu (I used the trader Joe's brand))
- bean sprouts (1 cup bean sprouts)",https://food52.com/recipes/34427-easy-vegan-pad-thai
Paella,Paella,3507.0,120.76,370.28,211.34,"- chorizo (400 g quality chorizo)
- onion (1 small onion)
- peppers (50 g jarred piquillo peppers)
- parsley (½ a bunch of fresh flat-leaf parsley)
- chicken drumettes (22 free-range chicken drumettes)
- extra virgin olive oil (2 tablespoons extra virgin olive oil)
- smoked paprika (1 teaspoon smoked paprika)
- tomato pureé (2 tablespoon tomato pureé)
- rice (400 g Bomba paella rice)
- white wine (120 ml white wine)
- chicken stock (750 ml organic chicken stock)
- frozen peas (200 g frozen peas)
- lemon (1 lemon)",http://www.jamieoliver.com/recipes/chicken-recipes/chicken-paella/
Pancakes,Plain Pancakes,227.0,9.7,28.3,6.4,"- all purpose flour (1 1/3 cups all purpose flour)
- cocoa (1/3 cup plus 1 tablespoon cocoa powder)
- cocoa (1/3 cup plus 1 tablespoon cocoa powder)
- granulated sugar (6 tablespoons granulated sugar)
- baking powder (1 1/2 teaspoons baking powder)
- salt (3/4 teaspoon salt)
- baking soda (1/4 teaspoon baking soda)
- eggs (2 large eggs)
- unsalted butter (3 tablespoons melted unsalted butter, plus extra for greasing pan and buttering pancakes)
- whole milk (3/4 cup whole milk)
- whole milk (1/2 cup whole milk)
- semi-sweet chocolate (5 ounces semi-sweet chocolate, finely chopped)
- vanilla extract (1 teaspoon pure vanilla extract)",http://www.seriouseats.com/recipes/2012/02/chocolate-pancakes-recipe.html
Panna cotta,Panna Cotta,134.0,7.4,14.03,0.65,"- water (2 tablespoons water)
- gelatin (1 teaspoon powdered unflavored gelatin)
- Vegetable oil (Vegetable oil, if unmolding the panna cotta)
- plain Greek yogurt (1 cup whole-milk plain Greek yogurt)
- heavy cream (1 cup heavy cream, divided)
- granulated sugar (1/4 cup granulated sugar)
- bean paste (1/2 teaspoon vanilla bean paste or vanilla extract)
- strawberries (1/2 cup sliced strawberries)
- raspberries (1/2 cup raspberries)
- granulated sugar (1 tablespoon granulated sugar)",https://www.thekitchn.com/recipe-greek-yogurt-panna-cotta-258338
Peking duck,"Duck Meat and Skin (Roasted, Cooked)",337.0,28.35,0.0,18.99,"- duck breasts (4 (8-ounce) Rohan or Peking duck breasts)
- Coarse salt (Coarse salt and freshly ground pepper)
- pepper (Coarse salt and freshly ground pepper)
- shallot (1 shallot, finely chopped)
- red wine (1 cup red wine, preferably Madiran)
- Armagnac (1/2 cup Armagnac)
- demi-glace (2 tablespoons store-bought duck-and-veal demi-glace such as D'Artagnan)",https://www.marthastewart.com/902951/duck-breasts-la-dartagnan
Pho,Oriental Style Beef and Rice Noodle Soup (Vietnamese Pho Bo),3928.0,86.2,375.91,387.91,"- onions (2 large onions, split in half)
- ginger (1 large hand ginger (about 6 inches long), split in half lengthwise)
- beef shin (3 pounds beef shin, with meat attached)
- oxtail (2 pounds oxtail, cut into 1/2 to 1-inch thick slices)
- beef chuck (1 pound boneless beef chuck)
- beef brisket (1 pound beef brisket)
- star anise (3 whole star anise pods)
- cinnamon stick (1 cinnamon stick)
- fennel seeds (1 teaspoon fennel seeds)
- cloves (4 cloves)
- coriander seeds (1 teaspoon coriander seeds)
- fish sauce (1/4 cup fish sauce, plus more to taste)
- sugar (2 tablespoons sugar (preferably yellow rock sugar))
- Kosher salt (Kosher salt)
- noodles (6 to 8 servings pho noodles)
- beef flank steak (1 pound beef flank steak, sliced thinly against the grain)
- herbs (2 to 3 cups mixed herbs (cilantro, basil, and mint))
- bean sprouts (2 to 3 cups trimmed bean sprouts)
- scallions (1/2 cup sliced scallions)
- chilis (Thinly sliced Thai chilis)
- limes (2 limes, each cut into 4 wedges)
- Hoisin sauce (Hoisin sauce and Sriracha)
- Sriracha (Hoisin sauce and Sriracha)",http://www.seriouseats.com/recipes/2012/09/traditional-beef-pho-recipe.html?ref=search
Pizza,Cheese Pizza,276.0,11.74,30.33,12.33,"- bread flour (500 g bread flour(3 3/4 cups))
- Yeast (2 1/2 tsp Dry Yeast instant or active (10 grams))
- Table Salt (3/4 tsp Table Salt(5 grams))
- Sugar (3/4 tsp Sugar, plus a pinch (about 3 grams))
- Sugar (3/4 tsp Sugar, plus a pinch (about 3 grams))
- water (1 1/2 cup water at room temperature)
- extra-virgin olive oil (extra-virgin olive oil for pans)
- yellow onions (2 x yellow onions(medium), finely chopped (pizza cipolla))
- Heavy Cream (1/3 cup Heavy Cream(pizza cipolla))
- Kosher Salt (1 tsp Kosher Salt(pizza cipolla))
- fresh thyme (2 tsp fresh thyme, coarsely chopped(pizza cipolla))
- diced tomatoes (7 oz diced tomatoes, drained(pizza pomodoro))
- Canned Tomatoes (3/4 cup Canned Tomatoes (reserved juice) (pizza pomodoro))
- Extra Virgin Olive Oil (2 tsp Extra Virgin Olive Oil(pizza pomodoro))
- Kosher Salt (1/2 tsp Kosher Salt(pizza pomodoro))
- Red Pepper Flakes (1 pinch Red Pepper Flakes(pizza pomodoro))
- fresh basil (8 x fresh basil (large leaves), chopped(pizza pomodoro))",http://www.lottieanddoof.com/2010/01/pizza-pulp-fiction-jim-lahey/
Pork chop,"Pork Chops (Top Loin, Boneless)",144.0,5.89,0.0,21.35,"- olive oil (4 teaspoons olive oil)
- garlic (1 garlic clove, thinly sliced)
- kale (1 small bunch kale (about 7 ounces), leaves torn into bite-size pieces)
- Coarse salt (Coarse salt and ground pepper)
- ground pepper (Coarse salt and ground pepper)
- dried sage (1/4 teaspoon dried sage)
- pork chop (1 bone-in rib pork chop (6 to 8 ounces))
- lemon juice (1 tablespoon fresh lemon juice, plus a wedge for serving)
- lemon juice (1 tablespoon fresh lemon juice, plus a wedge for serving)",https://www.marthastewart.com/314722/sauteed-pork-chop-with-wilted-kale
Poutine,Poutine (Small),710.0,38.0,75.0,19.0,"- russet potatoes (4 lb. unpeeled russet potatoes, scrubbed (about 4 large) and dried)
- unsalted butter (4 Tbsp. unsalted butter)
- all-purpose flour (¼ cup all-purpose flour)
- garlic (1 garlic clove, finely chopped)
- shallot (1 shallot, finely chopped)
- beef stock (4 cups beef stock, preferably homemade)
- ketchup (2 Tbsp. ketchup)
- cider vinegar (1 Tbsp. cider vinegar)
- green peppercorns (1 Tbsp. green peppercorns)
- Worcestershire sauce (½ tsp. Worcestershire sauce)
- Kosher salt (Kosher salt and freshly ground black pepper)
- black pepper (Kosher salt and freshly ground black pepper)
- Vegetable oil (Vegetable oil, for frying)
- curds (2 cups cheddar cheese curds)",https://www.saveur.com/poutine-classic-gravy-fries-recipe
Prime rib,Prime Rib,267.0,17.39,0.0,26.02,"- standing rib roast (1 standing rib roast (prime rib), 3-12 pounds (see note above))
- Kosher salt (Kosher salt)
- black pepper (Freshly ground black pepper)",http://www.seriouseats.com/recipes/2009/12/perfect-prime-rib-beef-recipe.html
Pulled pork sandwich,Pork Barbecue Sandwich or Sloppy Joe on Bun,284.0,8.19,30.26,20.71,"- onion (1 large onion, chopped)
- garlic (6 garlic cloves, peeled)
- jalapeño pepper (1 pickled jalapeño pepper, seeded and chopped)
- chile powder (2 teaspoons of Chipotle chile powder)
- tomato paste (1 Tbsp tomato paste)
- Dijon mustard (2 Tbsp Dijon mustard)
- white vinegar (3/4 cup distilled white vinegar)
- paprika (1 teaspoon paprika)
- ketchup (1/3 cup ketchup)
- Worcestershire sauce (2 teaspoons Worcestershire sauce)
- light brown sugar (1/4 cup light brown sugar)
- bay leaf (1 bay leaf)
- Salt (Salt)
- shoulder roast (3 lbs of pork butt shoulder roast, trimmed of excess fat)
- Hamburger buns (Hamburger buns)",http://simplyrecipes.com/recipes/pulled_pork_sandwich/
Ramen,Ramen Noodle Soup - Chicken Flavor,190.0,7.0,27.0,4.0,"- ramen noodles (2½ lb ramen noodles, cooked according to package directions)
- pork fat (5 oz pork fat)",https://honestcooking.com/homemade-tonkotsu-ramen
Ravioli,Cheese Filled Ravioli,691.0,26.0,78.45,32.94,"- Coarse salt (Coarse salt)
- cheese ravioli (18 ounces cheese ravioli)
- butter (3 tablespoons butter)
- sage (16 sage leaves, thinly sliced)",https://www.marthastewart.com/1154578/cheese-ravioli-brown-butter-and-sage
Red velvet cake,Red Velvet Cake,4417.0,206.85,563.58,82.05,"- cupcakes (8 ounces red velvet cake (about 4-5 cupcakes, or any cake scraps you may have))
- butter (2 ounces butter)",https://honestcooking.com/red-velvet-cake-bars-recipe
Risotto,Cheese Risotto,1382.0,50.94,171.8,54.44,"- Butternut Squash (1 cup Vitacost Butternut Squash Risotto)
- Yellow Onion (1 Yellow Onion (Chopped))
- Chicken Stock (1 quart Chicken Stock (Organic))
- Garlic (3 Garlic Cloves)
- Olive Oil (2 tablespoons Olive Oil)",https://food52.com/recipes/33581-butternut-squash-risotto
Samosa,Pastry filled with Potatoes and Peas (Fried),2319.0,134.5,242.56,35.17,"- All purpose flour (2 1/2 cups All purpose flour)
- Starch (1/4 cup Corn Starch)
- Cumin seeds (1 teaspoon Carom/Cumin seeds)
- Shortening (6 tablespoons Oil/Ghee/Shortening)
- Water (about 3/4 cups Water)
- Salt (1/2 teaspoon Salt)
- Oil (as required Oil, for deep frying)
- Potato (Potato Stuffing and assembling the samosa)
- Stuffing (Potato Stuffing and assembling the samosa)
- Potatoes (3, large Potatoes (diced and boiled))
- Serrano (2 no. Green chillies/Serrano (finely chopped))
- Ginger (1 teaspoon Ginger (minced))
- Garlic (1 tablespoon Garlic (minced))
- Turmeric (1/4 teaspoon Turmeric powder)
- chilli powder (1 teaspoon Red chilli powder)
- masala (1 teaspoon Garam masala)
- Cumin seeds (1 teaspoon Cumin seeds)
- Coriander (2 teaspoons Coriander powder)
- Lemon juice (2 teaspoons Lemon juice)
- Salt (to taste Salt)
- Cilantro leaves (3 tablespoons Cilantro leaves)
- Mint leaves (1 tablespoon Mint leaves (optional, but recommended))
- Peas (3 tablespoons Frozen/ fresh Peas (optional))
- Oil (2 teaspoons Oil)",https://food52.com/recipes/16285-samosa-savory-indian-pototo-pies
Sashimi,Salmon Sashimi,146.0,5.93,0.0,21.62,"- seedless watermelon (1 mini seedless watermelon, cut into bite sized cubes)
- jalapeños (2 jalapeños, sliced thinly)
- fresh ginger (1 knob of fresh ginger, julienned)
- lime (1 lime, cut into wedges)
- sesame seeds (1-2 tablespoons black sesame seeds, for sprinkling)
- agave nectar (2 tablespoons honey or agave nectar, for drizzling)",https://food52.com/recipes/59871-watermelon-sashimi
Scallops,Scallops,2358.0,119.08,113.97,197.08,"- Scallops (1 bunch Scallops)
- Seasonings (1 dash Seasonings)",https://food52.com/recipes/58363-simple-savory-scallops
Seaweed salad,Seaweed Salad,105.0,2.73,18.1,3.88,"- seaweed (Handful of dried seaweed, enough for 2 cups when rehydrated)
- rice vinegar (1 tablespoon rice vinegar)
- sesame oil (2 teaspoons sesame oil)
- salt (1/4 teaspoon salt)
- sugar (1/4 teaspoon sugar)
- sesame seeds (2 teaspoons toasted sesame seeds)",http://www.seriouseats.com/recipes/2010/12/seaweed-salad-recipe.html
Shrimp and grits,Grits with Cheese (Fat Added in Cooking),974.0,54.65,79.28,40.26,"- salt (1 Tbsp. salt)
- grits (2 cups coarse-ground grits)
- milk (3 cups milk)",https://www.saveur.com/article/Recipes/Shrimp-and-Grits/
Spaghetti bolognese,Spaghetti Bolognese,1470.0,51.38,182.79,71.58,"- extra-virgin olive oil (1 tablespoon extra-virgin olive oil)
- onion (1/2 onion, finely diced (1/2 cup))
- carrot (1 carrot, finely diced)
- celery (2 celery stalks, finely diced)
- pancetta (4 ounces pancetta, finely diced (optional))
- ground beef (1 pound ground beef, or a combination of beef and pork)
- pork (1 pound ground beef, or a combination of beef and pork)
- Coarse salt (Coarse salt)
- white wine (1/2 cup red or white wine)
- tomatoes (One 28-ounce can best-quality tomatoes, pulsed in a blender)
- cream (1/2 cup cream or milk)
- black pepper (Freshly ground black pepper)
- red-pepper flakes (1/4 teaspoon crushed red-pepper flakes)
- spaghetti (1 pound spaghetti or other pasta)
- unsalted butter (1 1/2 tablespoons unsalted butter)
- Parmesan cheese (1/2 cup freshly grated Parmesan cheese)",https://www.marthastewart.com/354110/spaghetti-bolognese
Spaghetti carbonara,Pasta with Carbonara Sauce,3410.0,94.81,459.24,143.74,"- Pecorino Romano (50 grams Pecorino Romano (1.8 ounces) grated)
- egg (1 large egg)
- olive oil (2 tablespoons olive oil)
- black pepper (fresh ground black pepper to taste)
- Pancetta (170 grams Guanciale (6 ounces) Pancetta or Bacon will also work)
- pasta (170 grams dried pasta (6 ounces) boiled according to package directions)
- eggs (2 slow cooked eggs (optional))",http://norecipes.com/blog/spaghetti-carbonara-recipe/
Spring rolls,Vegetable Spring Roll,1153.0,52.29,137.09,36.59,"- russet potatoes (3 large russet potatoes)
- butter (1 tablespoon butter)
- milk (2 tablespoon milk)
- sour cream (2 tablespoon sour cream)
- bacon (4 slices thick cut bacon)
- cheddar cheese (½ cup shredded cheddar cheese)
- green onion (2 tablespoons chopped green onion)
- salt (salt and pepper to taste)
- pepper (salt and pepper to taste)
- spring roll wrappers (8 refrigerated spring roll wrappers)
- vegetable oil (vegetable oil for frying)",https://honestcooking.com/potato-spring-rolls
Steak,"Beef Top Sirloin (Trimmed to 1/8"" Fat)",201.0,12.71,0.0,20.3,"- skirt steak (1½ pounds skirt steak)
- Salt (Salt and pepper)
- pepper (Salt and pepper)",https://www.bonappetit.com/recipe/salt-and-pepper-steak
Strawberry shortcake,Shortcake Sponge with Whipped Cream and Fruit,283.0,6.79,53.29,5.23,"- doughnuts (2 doughnuts (flavor of your choosing))
- butter (2 teaspoons butter, melted)
- heavy whipping cream (1/2 cup cold heavy whipping cream)
- confectioners' sugar (1 tablespoon confectioners' sugar)
- strawberries (4 large strawberries, stemmed, each sliced into 4 slices)",http://www.seriouseats.com/recipes/2012/05/doughnut-strawberry-shortcake-recipe.html
Sushi,Sushi,1924.0,5.65,402.26,57.85,"- rice (Grain: sushi rice short grain brown rice and/or black rice, enough for two bowls. Click the link above for my sushi rice recipe.)
- tuna (Protein: 1/2 pound sushi-grade tuna cut into slices)",https://honestcooking.com/sushi-rice-bowl
Tacos,"Taco or Tostada with Beef, Cheese and Lettuce",221.0,12.65,16.2,10.88,"- Vegetable Oil (2 tsp Vegetable Oil (picadillo))
- white onion (1/2 x white onion (large), chopped (1 1/2 cups) (picadillo))
- Ground Chuck (1 lb Ground Chuck (80 percent lean) (picadillo))
- garlic (1 tbsp minced garlic cloves(1 to 2 cloves) (picadillo))
- tomatoes (2 x tomatoes (medium), diced (2 3/4 cups) (picadillo))
- Paprika (1 1/2 tsp Paprika (picadillo))
- ancho chile powder (1 tsp ancho chile powder (picadillo))
- Dried Oregano (1 tsp Dried Oregano (picadillo))
- coarse salt (1 tsp coarse salt (picadillo))
- ground pepper (1 tsp freshly ground pepper (picadillo))
- Cumin (3/4 tsp Ground Cumin (picadillo))
- water (1 1/2 cup water (picadillo))
- White Vinegar (3 tsp White Vinegar (picadillo))
- vegetable oil (vegetable oil for frying (tacos))
- Corn Tortillas (20 x Corn Tortillas (tacos))
- Iceberg Lettuce (Iceberg Lettuce Shredded,for serving (tacos))
- white onion (white onion shredded,for serving (tacos))
- cheddar cheese (shredded cheddar cheese (tacos))
- tacos (shredded cheddar cheese (tacos))
- salsa (salsa Picante, for serving (tacos))",http://www.lottieanddoof.com/2009/07/picadillo/
Takoyaki,Takoyaki,1489.0,64.32,151.25,71.89,"- oyster sauce (1 tablespoon oyster sauce)
- Worcestershire sauce (2 teaspoons Worcestershire sauce)
- honey (2 teaspoons honey)
- ketchup (1 teaspoon ketchup)",https://www.allrecipes.com/recipe/283774/takoyaki-sauce
Tiramisu,Tiramisu,3944.0,253.62,340.15,66.47,"- Crepes (Crepes (Makes 20 crepes))
- butter (6 tablespoons butter)
- whole milk (3 cups whole milk)
- eggs (6 large eggs)
- all purpose flour (1 1/2 cups all purpose flour)
- sugar (6 tablespoons sugar)
- salt (pinch of salt)
- Kahlua (3 tablespoons Kahlua/Baileys)
- Crepe (Tiramisu Crepe Cake)
- eggs (3 large eggs, separated)
- sugar (3/4 cup sugar)
- salt (pinch of salt)
- heavy cream (1/2 cup chilled heavy cream)
- mascarpone (8 ounces mascarpone)
- Kahlua (1/3 cup (or according to taste) Kahlua/Baileys)
- dark chocolate (3 ounces dark chocolate (I use 60% cocoa))",https://food52.com/recipes/5286-tiramisu-crepe-cake
Tuna tartare,Tuna,108.0,0.95,0.0,23.38,"- mayonnaise (1 tablespoon mayonnaise)
- soy sauce (3/4 teaspoon soy sauce)
- Sriracha (1/2 teaspoon Sriracha (Asian chili sauce))
- fresh tuna (8 ounces fresh tuna, cut into 1/4-inch dice)
- chives (1 tablespoon thinly sliced fresh chives, plus 1-inch pieces for garnish)
- waffle (Gaufrettes or waffle-cut potato chips, for serving)
- potato chips (Gaufrettes or waffle-cut potato chips, for serving)",https://www.marthastewart.com/355745/spicy-tuna-tartare
Waffles,Plain Waffles,291.0,14.1,32.9,7.9,"- nonfat Greek yogurt (8 tablespoons nonfat Greek yogurt)
- waffles (4 waffles, toasted)
- blueberries (1 cup fresh (or frozen, thawed) blueberries, blackberries, or raspberries)
- Honey (Honey (for drizzling))
- mint (2 tablespoons chopped fresh mint)",https://www.bonappetit.com/recipe/waffles-with-greek-yogurt-and-berries
